url;owner;commiter;decision;submission date;decision date;
https://github.com/apache/groovy/pull/1;shils;melix;merged;19 apr 2015;7 May 2015;
https://github.com/apache/groovy/pull/2;paulk-asert;PascalSchumacher;merged;20 apr 2015;29 apr 2015;
https://github.com/apache/groovy/pull/3;antoaravinth;PascalSchumacher;merged;20 apr 2015;15 Jan 2016;
https://github.com/apache/groovy/pull/4;AugierLe42e;PascalSchumacher;closed;21 apr 2015;30 Jul 2015;
https://github.com/apache/groovy/pull/4;AugierLe42e;paulk-asert;closed;21 apr 2015;30 Jul 2015;
https://github.com/apache/groovy/pull/5;jwadamson;PascalSchumacher;merged;22 apr 2015;16 Jan 2016;
https://github.com/apache/groovy/pull/6;VasylTretiakov;PascalSchumacher;merged;28 apr 2015;28 apr 2015;
https://github.com/apache/groovy/pull/7;DarthPumpkin;PascalSchumacher;merged;29 apr 2015;1 May 2015;
https://github.com/apache/groovy/pull/8;jacopoc;PascalSchumacher;merged;1 May 2015;18 nov 2015;
https://github.com/apache/groovy/pull/9;andyjduncan;paulk-asert;merged;10 May 2015;23 May 2015;
https://github.com/apache/groovy/pull/10;fpavageau;paulk-asert;merged;10 May 2015;21 May 2015;
https://github.com/apache/groovy/pull/10;fpavageau;PascalSchumacher;merged;10 May 2015;21 May 2015;
https://github.com/apache/groovy/pull/11;jacopoc;paulk-asert;merged;11 May 2015;19 May 2015;
https://github.com/apache/groovy/pull/12;roranade;PascalSchumacher;merged;12 May 2015;15 May 2015;
https://github.com/apache/groovy/pull/13;shils;shils;closed;12 May 2015;28 nov 2015;
https://github.com/apache/groovy/pull/14;paulk-asert;paulk-asert;merged;12 May 2015;16 May 2015;
https://github.com/apache/groovy/pull/15;nickgrealy;paulk-asert;closed;13 May 2015;22 Sep 2016;
https://github.com/apache/groovy/pull/16;eginez;paulk-asert;merged;15 May 2015;19 May 2015;
https://github.com/apache/groovy/pull/17;shils;melix;merged;16 May 2015;18 May 2015;
https://github.com/apache/groovy/pull/18;paulk-asert;paulk-asert;closed;19 May 2015;6 Jun 2015;
https://github.com/apache/groovy/pull/19;eginez;melix;merged;19 May 2015;19 May 2015;
https://github.com/apache/groovy/pull/19;eginez;erichelgeson;merged;19 May 2015;19 May 2015;
https://github.com/apache/groovy/pull/20;paulk-asert;paulk-asert;merged;20 May 2015;23 May 2015;
https://github.com/apache/groovy/pull/21;paulk-asert;paulk-asert;merged;20 May 2015;22 May 2015;
https://github.com/apache/groovy/pull/22;paulk-asert;paulk-asert;merged;22 May 2015;23 May 2015;
https://github.com/apache/groovy/pull/23;paulk-asert;paulk-asert;merged;23 May 2015;4 Jul 2015;
https://github.com/apache/groovy/pull/23;paulk-asert;blackdrag;merged;23 May 2015;4 Jul 2015;
https://github.com/apache/groovy/pull/24;paulk-asert;paulk-asert;merged;25 May 2015;26 May 2015;
https://github.com/apache/groovy/pull/25;houbie;paulk-asert;merged;27 May 2015;31 May 2015;
https://github.com/apache/groovy/pull/26;pledbrook;PascalSchumacher;merged;27 May 2015;31 May 2015;
https://github.com/apache/groovy/pull/27;paulk-asert;paulk-asert;merged;30 May 2015;31 May 2015;
https://github.com/apache/groovy/pull/28;EPadronU;paulk-asert;merged;30 May 2015;30 May 2015;
https://github.com/apache/groovy/pull/29;EPadronU;PascalSchumacher;merged;30 May 2015;31 May 2015;
https://github.com/apache/groovy/pull/30;paulk-asert;paulk-asert;merged;1 Jun 2015;1 Jun 2015;
https://github.com/apache/groovy/pull/31;danhyun;PascalSchumacher;merged;3 Jun 2015;4 Jun 2015;
https://github.com/apache/groovy/pull/32;EPadronU;PascalSchumacher;merged;3 Jun 2015;4 Jun 2015;
https://github.com/apache/groovy/pull/33;tomasbartalos;PascalSchumacher;merged;4 Jun 2015;9 Jun 2015;
https://github.com/apache/groovy/pull/34;dkobylarz;paulk-asert;merged;5 Jun 2015;3 Aug 2016;
https://github.com/apache/groovy/pull/35;paulk-asert;paulk-asert;merged;8 Jun 2015;8 Jun 2015;
https://github.com/apache/groovy/pull/36;keeganwitt;PascalSchumacher;merged;9 Jun 2015;9 Jun 2015;
https://github.com/apache/groovy/pull/37;keeganwitt;PascalSchumacher;merged;9 Jun 2015;9 Jun 2015;
https://github.com/apache/groovy/pull/38;nickgrealy;paulk-asert;merged;10 Jun 2015;11 Jun 2015;
https://github.com/apache/groovy/pull/39;fmatosqg;PascalSchumacher;merged;10 Jun 2015;11 Jun 2015;
https://github.com/apache/groovy/pull/40;paulk-asert;asfgit;merged;11 Jun 2015;25 Jun 2015;
https://github.com/apache/groovy/pull/41;paulk-asert;asfgit;merged;18 Jun 2015;19 Jun 2015;
https://github.com/apache/groovy/pull/42;paulk-asert;paulk-asert;closed;23 Jun 2015;23 Jun 2015;
https://github.com/apache/groovy/pull/43;Persi;PascalSchumacher;merged;24 Jun 2015;2 Jul 2015;
https://github.com/apache/groovy/pull/43;Persi;blackdrag;merged;24 Jun 2015;2 Jul 2015;
https://github.com/apache/groovy/pull/44;christoph-frick;PascalSchumacher;merged;25 Jun 2015;25 Jun 2015;
https://github.com/apache/groovy/pull/45;bobpaulin;PascalSchumacher;merged;26 Jun 2015;26 Jun 2015;
https://github.com/apache/groovy/pull/46;gvaneyck;PascalSchumacher;merged;27 Jun 2015;28 Jun 2015;
https://github.com/apache/groovy/pull/47;paulk-asert;paulk-asert;closed;27 Jun 2015;28 Jun 2015;
https://github.com/apache/groovy/pull/48;paulk-asert;paulk-asert;merged;29 Jun 2015;4 Jul 2015;
https://github.com/apache/groovy/pull/49;PascalSchumacher;PascalSchumacher;closed;30 Jun 2015;30 Jun 2015;
https://github.com/apache/groovy/pull/50;paulk-asert;paulk-asert;merged;2 Jul 2015;4 Jul 2015;
https://github.com/apache/groovy/pull/51;christoph-frick;PascalSchumacher;merged;2 Jul 2015;2 Jul 2015;
https://github.com/apache/groovy/pull/52;paulk-asert;paulk-asert;merged;3 Jul 2015;4 Jul 2015;
https://github.com/apache/groovy/pull/53;anshbansal;PascalSchumacher;merged;3 Jul 2015;3 Jul 2015;
https://github.com/apache/groovy/pull/55;and-dmitry;paulk-asert;merged;6 Jul 2015;7 Jul 2015;
https://github.com/apache/groovy/pull/56;keeganwitt;PascalSchumacher;merged;7 Jul 2015;7 Jul 2015;
https://github.com/apache/groovy/pull/57;keeganwitt;PascalSchumacher;merged;7 Jul 2015;7 Jul 2015;
https://github.com/apache/groovy/pull/58;paulk-asert;paulk-asert;closed;9 Jul 2015;10 Jul 2015;
https://github.com/apache/groovy/pull/59;paulk-asert;paulk-asert;merged;11 Jul 2015;14 Jul 2015;
https://github.com/apache/groovy/pull/59;paulk-asert;keeganwitt;merged;11 Jul 2015;14 Jul 2015;
https://github.com/apache/groovy/pull/60;Controlix;paulk-asert;merged;12 Jul 2015;16 Jul 2015;
https://github.com/apache/groovy/pull/61;paulk-asert;paulk-asert;merged;13 Jul 2015;14 Jul 2015;
https://github.com/apache/groovy/pull/62;anshbansal;PascalSchumacher;merged;17 Jul 2015;18 Jul 2015;
https://github.com/apache/groovy/pull/63;anshbansal;PascalSchumacher;merged;18 Jul 2015;18 Jul 2015;
https://github.com/apache/groovy/pull/64;anshbansal;PascalSchumacher;merged;18 Jul 2015;1 Aug 2015;
https://github.com/apache/groovy/pull/65;anshbansal;PascalSchumacher;merged;18 Jul 2015;19 Jul 2015;
https://github.com/apache/groovy/pull/66;qxo;paulk-asert;merged;18 Jul 2015;24 Oct 2015;
https://github.com/apache/groovy/pull/66;qxo;PascalSchumacher;merged;18 Jul 2015;24 Oct 2015;
https://github.com/apache/groovy/pull/67;keeganwitt;PascalSchumacher;merged;20 Jul 2015;20 Jul 2015;
https://github.com/apache/groovy/pull/68;keeganwitt;PascalSchumacher;merged;21 Jul 2015;30 Jul 2015;
https://github.com/apache/groovy/pull/69;shils;PascalSchumacher;merged;23 Jul 2015;24 Jul 2015;
https://github.com/apache/groovy/pull/69;shils;paulk-asert;merged;23 Jul 2015;24 Jul 2015;
https://github.com/apache/groovy/pull/70;keeganwitt;melix;merged;23 Jul 2015;30 Jul 2015;
https://github.com/apache/groovy/pull/71;paulk-asert;paulk-asert;merged;26 Jul 2015;30 Jul 2015;
https://github.com/apache/groovy/pull/72;shils;PascalSchumacher;merged;26 Jul 2015;1 Aug 2015;
https://github.com/apache/groovy/pull/73;shils;paulk-asert;merged;26 Jul 2015;1 Aug 2015;
https://github.com/apache/groovy/pull/74;qxo;PascalSchumacher;merged;28 Jul 2015;1 Aug 2015;
https://github.com/apache/groovy/pull/74;qxo;paulk-asert;merged;28 Jul 2015;1 Aug 2015;
https://github.com/apache/groovy/pull/75;paulk-asert;keeganwitt;merged;28 Jul 2015;6 Aug 2015;
https://github.com/apache/groovy/pull/76;shils;melix;merged;29 Jul 2015;21 Aug 2015;
https://github.com/apache/groovy/pull/76;shils;keeganwitt;merged;29 Jul 2015;21 Aug 2015;
https://github.com/apache/groovy/pull/77;paulk-asert;keeganwitt;merged;30 Jul 2015;6 Aug 2015;
https://github.com/apache/groovy/pull/78;keeganwitt;keeganwitt;merged;30 Jul 2015;31 Jul 2015;
https://github.com/apache/groovy/pull/79;fpavageau;PascalSchumacher;merged;1 Aug 2015;1 Sep 2015;
https://github.com/apache/groovy/pull/80;paulk-asert;paulk-asert;merged;7 Aug 2015;11 Aug 2015;
https://github.com/apache/groovy/pull/81;anshbansal;keeganwitt;merged;7 Aug 2015;22 Aug 2015;
https://github.com/apache/groovy/pull/82;anshbansal;PascalSchumacher;merged;9 Aug 2015;31 Aug 2015;
https://github.com/apache/groovy/pull/83;paulk-asert;paulk-asert;merged;15 Aug 2015;30 Aug 2015;
https://github.com/apache/groovy/pull/84;antoaravinth;paulk-asert;merged;15 Aug 2015;27 Aug 2015;
https://github.com/apache/groovy/pull/85;antoaravinth;paulk-asert;merged;16 Aug 2015;9 Aug 2016;
https://github.com/apache/groovy/pull/85;antoaravinth;melix;merged;16 Aug 2015;9 Aug 2016;
https://github.com/apache/groovy/pull/85;antoaravinth;blackdrag;merged;16 Aug 2015;9 Aug 2016;
https://github.com/apache/groovy/pull/85;antoaravinth;shils;merged;16 Aug 2015;9 Aug 2016;
https://github.com/apache/groovy/pull/86;EPadronU;keeganwitt;merged;17 Aug 2015;20 Aug 2015;
https://github.com/apache/groovy/pull/87;adjohnson916;paulk-asert;merged;18 Aug 2015;27 Aug 2015;
https://github.com/apache/groovy/pull/88;shils;keeganwitt;merged;19 Aug 2015;20 Aug 2015;
https://github.com/apache/groovy/pull/89;keeganwitt;keeganwitt;merged;19 Aug 2015;20 Aug 2015;
https://github.com/apache/groovy/pull/90;shils;shils;merged;19 Aug 2015;13 Sep 2015;
https://github.com/apache/groovy/pull/91;paulk-asert;paulk-asert;merged;20 Aug 2015;20 Aug 2015;
https://github.com/apache/groovy/pull/92;tkruse;PascalSchumacher;merged;20 Aug 2015;1 Sep 2015;
https://github.com/apache/groovy/pull/93;tkruse;PascalSchumacher;merged;20 Aug 2015;11 mar 2016;
https://github.com/apache/groovy/pull/93;tkruse;paulk-asert;merged;20 Aug 2015;11 mar 2016;
https://github.com/apache/groovy/pull/94;keeganwitt;PascalSchumacher;merged;21 Aug 2015;1 Sep 2015;
https://github.com/apache/groovy/pull/95;graemerocher;melix;merged;21 Aug 2015;13 Sep 2015;
