"";"X.1";"X";"PostId";"CodeSnippet";"Weekday";"GMTHour";"BodyLength";"TitleLength";"URL";"IsTheSameTopicBTitle";"AvgUpperCharsPPost";"NTag";"SentimentPositiveScore";"SentimentNegativeScore";"Successful";"QuestionText";"CommentsText";"UserId";"UserReputation"
"115";118;118;25320072;TRUE;"Weekday";"Night";"Short";"Medium";FALSE;FALSE;0,0386740331491713;TRUE;FALSE;FALSE;FALSE;"How can I only measure the test coverage of only code within methods in Ruby? If I have the following code and SimpleCov will tell me that example.rb has two out of three lines covered, because and count as covered. How can I measure code coverage such that only coverage of lines such as are measured? This can be done with SimpleCov or some other tool, so long as it works with test-unit or minitest.";"";38765;"Trusted"
"280";289;289;25321108;TRUE;"Weekday";"Night";"Short";"Long";TRUE;FALSE;0,0480769230769231;TRUE;FALSE;FALSE;TRUE;"I want to define a custom directive with angular. It can calculate a path based on some custom attributes. HTML code: Angularjs code: You can see I can the text of as: But I don't know how to evaluate it. I tried in my code, but it doesn't work, instead, it reports some errors: I also tried , but it will report some other errors. A live demo:";"";342235;"Trusted"
"283";292;292;25321138;TRUE;"Weekday";"Night";"Short";"Long";FALSE;FALSE;0,0342465753424658;TRUE;FALSE;FALSE;TRUE;"We're using protractor for angularjs application e2e tests. We have a feature which will check the of , then generate different image url in order to provide high-quality image for retina screens. But how to test it with protractor? I can't find any option can specify it with protractor APIs.";"";342235;"Trusted"
"449";466;466;25322343;TRUE;"Weekday";"Morning";"Medium";"Medium";TRUE;TRUE;0,0356265356265356;TRUE;TRUE;FALSE;TRUE;"I'm working on a simple dictionary tool, with a base class that can be extended by plugins to represent different dictionaries. The plugins are organized in the filesystem like this: The main application discovers and loads the plugins like this: As illustrated above in the filesystem layout, most plugins have a file in the same directory, containing custom settings of the plugin. The plugin's main package imports the settings like this: This works fine in Python 2.7. But in Python 3 I'm getting this stack trace: The file is in , the program works fine with Python 2 but not with Python 3. Before running with Python 3, I wiped all the files with: The complete project is open-source on . To reproduce the problem: In other words, in Python 2 the plugin has no problem with , having in its own directory, but this doesn't work in Python 3. How should I do this? I'm not very happy with the method either. Probably it can be done better but I don't know how. Please enlighten!";"";641955;"Trusted"
"1387";1443;1443;25327743;FALSE;"Weekday";"Afternoon";"Short";"Long";TRUE;TRUE;0,028169014084507;TRUE;FALSE;FALSE;FALSE;"For example, is claimed to be authored by mattcaswell and committed by richsalz What usage flow could have caused this? Suppose I want a commit which is authored by someone else and committed by me to appear in a repo where I'm a contributor - how would I have that?";"";57428;"Trusted"
"1919";2004;2004;25330802;TRUE;"Weekday";"Afternoon";"Medium";"Long";TRUE;FALSE;0,0512820512820513;TRUE;TRUE;FALSE;TRUE;"I have bitmap extracted from BitmapSource (RenderTargetBitmap) with blue circle in it. RenderTargetBitmap is created with PixelFormats.Pbgra32. pre-multiplies each color channel with alpha value. So, when I try to convert bitmap to cursor I was getting less opaque image than is should have. I found solution to the problem which clone the bitmap to and manually set R,B,G and alpha values. However, solutions works perfectly fine but for cloned bitmap I see black border around visual. Can I get rid of that black border in cloned bitmap? (I suspect it's something inside SafeCopy method) Methods used from the link are: Original bitmap: Cloned bitmap:";"No `cursorBitmap` (cloned bitmap) is still `Format32bppPArgb`. It's just I locked the source bitmap on 24bpp to avoid pre-multiplication bits and then manually set R,G,B and alpha value on cursorBitmap in SafeCopy method from source bitmap. So, the cloned bitmap still have alpha value. Because I want to apply opacity to each pixel so that transparency is consistent for all pixels. Isn't it? `Instead of converting to RGB you could simply revert the pre-multiplication by multiplying each pixel R, G, and B value by 255d/(double)A.`- I didn't get this. You mean I should remove the pre-multiplication and then set alpha value to all pixels? By locking the bit on format Format24bppRgb, will remove the pre-multiplication. I guess so but might be wrong. @Clemens - You are right if I skip setting alpha value for pixels which already have alpha channel set to 0. I was able to get rid of it. I put the check before setting alpha channel that if alpha value is 0 do not set it. But for your last comment of converting it to `Format32bppArgb`. Even after that I have to copy pixels from source to destination becuase I don't see any method in bitMap to change its format in place :( Do you know any straight forward way? Also can you post the skipping setting alpha channel for 0 value as a answer so that I can accept it.";632337;"Trusted"
"2106";2198;2198;25331874;FALSE;"Weekday";"Evening";"Medium";"Long";FALSE;TRUE;0,0329896907216495;TRUE;FALSE;FALSE;TRUE;"I am trying to debug a display issue with a site, but I am only able to reproduce the bug when viewing the site on an iPhone. I tried changing the user agent in Safari to iPhone, but the bug is not reproduced when viewing on Safari emulating an iPhone. Shouldn't these two render the same? Am I missing something? At the end of the day I would just like to reproduce the bug and then use developer tools to see what is causing it. Is there a reliable way to render a site as if it were on a mobile device while in a desktop environment so that one can use developer tools?";"";226897;"Trusted"
"2213";2311;2311;25332474;TRUE;"Weekday";"Evening";"Medium";"Long";FALSE;FALSE;0,129801324503311;TRUE;FALSE;TRUE;FALSE;"I am trying to understand various aspects of _ITERATOR_DEBUG_LEVEL in Microsoft Visual Studio C++ 2010. To that end, I created a DLL from a very simple .cc file: I created the object file using the flag (Runtime Library = Multi-threaded DLL). The object file has the token in it. However, the corresponding .lib file does not have any such thing. That creates a problem when the DLL is used by an executable whose .cc file has been compiled with (Runtime Library = Multi-threaded Debug DLL). There are no errors at link time but program crashes at run time. From what I understand, after reading various articles on the net, if the .lib created by the above VS Project contains the above token, the creation of the EXE will fail at link time, preventing run time problems. What do I need to change in the VS Project of the DLL to make sure that the above token is inserted in the .lib file?";"@HansPassant, That's strange. I have some third party libraries that appear to contain the exported functions but also contain the iterator debugging level directives. Maybe I am mistaken about the contents of those .lib files. Time to dig deeper.";434551;"Trusted"
"2216";2314;2314;25332508;FALSE;"Weekday";"Evening";"Medium";"Long";FALSE;FALSE;0,015025041736227;TRUE;FALSE;FALSE;FALSE;"I have a linked list of objects each containing a 32-bit integer (and provably fewer than 232 such objects) and I want to efficiently choose an integer that's not present in the list, without using any additional storage (so copying them to an array, sorting the array, and choosing the minimum value not in the array would not be an option). However, the definition of the structure for list elements is under my control, so I could add (within reason) additional storage to each element as part of solving the problem. For example, I could add an extra set of prev/next pointers and merge-sort the list. Is this the best solution? Or is there a simpler or more efficient way to do it?";"@askmish: As stated in the question, the full 32-bit range. @DrewMcGowen: The data is a linked list, not an array, and the order of the original list needs to be preserved. As stated in the question, I could add a second set of prev/next pointers in order to be able to be able to reorder the list in-place without disturbing the original order, e.g. to perform a merge sort, but I'm wondering if this is the ideal solution or if there's a better way. @askmish: Duplicates are allowed and in fact the common case is that most of the values are the same or several consecutive values, but under pathological load the values could be distributed anywhere over the whole 32-bit space, and I want to be able to handle that without horrible worst-case performance There's no need for the chosen number to be random, just distinct from any of the existing values. @gmch: Typically, it will be fairly low, but it should scale up to the order of millions or so, at least.";379897;"Trusted"
"2351";2453;2453;25333299;TRUE;"Weekday";"Evening";"Short";"Medium";FALSE;FALSE;0,0292887029288703;TRUE;FALSE;FALSE;TRUE;"Is it possible to have slick have asymmetric projects for vs ? For example, this is what I'd like to do: Is there any practical way of making this work? The main issue is the insert, complaining about too many parameters because it doesn't match the projection.";"";375874;"Trusted"
