url;owner;committer;decision;submission date;decision date
https://github.com/apache/drill/pull/924;paul-rogers;<User (paul-rogers)>;merged;2017-08-26 04:31:54;2017-08-30 00:04:38
https://github.com/apache/drill/pull/918;weijietong;<User (weijietong)>;merged;2017-08-20 12:12:11;2017-08-21 00:02:49
https://github.com/apache/drill/pull/917;weijietong;<User (weijietong)>;merged;2017-08-20 11:57:35;2017-08-20 12:01:57
https://github.com/apache/drill/pull/912;ilooner-mapr;<User (ilooner-mapr)>;merged;2017-08-17 23:22:03;2017-08-17 23:38:33
https://github.com/apache/drill/pull/911;ilooner-mapr;<User (ilooner-mapr)>;merged;2017-08-17 21:32:16;2017-08-25 13:42:20
https://github.com/apache/drill/pull/908;vvysotskyi;<User (vvysotskyi)>;merged;2017-08-17 10:46:46;2017-08-25 13:42:20
https://github.com/apache/drill/pull/902;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2017-08-10 12:27:53;2017-08-15 13:44:43
https://github.com/apache/drill/pull/900;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2017-08-09 14:39:01;2017-08-15 13:44:43
https://github.com/apache/drill/pull/899;darrenbrien;<User (darrenbrien)>;merged;2017-08-09 10:25:48;2017-08-09 20:47:50
https://github.com/apache/drill/pull/898;KrysKruk;<User (KrysKruk)>;merged;2017-08-07 12:30:03;2017-08-07 12:31:05
https://github.com/apache/drill/pull/894;sohami;<User (sohami)>;merged;2017-08-03 22:37:17;2017-08-25 13:42:20
https://github.com/apache/drill/pull/893;cgivre;<User (cgivre)>;merged;2017-08-03 20:19:12;2017-08-07 04:06:27
https://github.com/apache/drill/pull/891;sindhurirayavaram;<User (sindhurirayavaram)>;merged;2017-08-02 01:55:21;2017-08-15 13:44:43
https://github.com/apache/drill/pull/890;darrenbrien;<User (darrenbrien)>;merged;2017-07-31 10:55:41;2017-08-15 13:44:43
https://github.com/apache/drill/pull/888;weijietong;<User (weijietong)>;merged;2017-07-27 09:37:12;2017-08-02 09:44:58
https://github.com/apache/drill/pull/887;paul-rogers;<User (paul-rogers)>;merged;2017-07-27 05:48:25;2017-08-18 05:54:36
https://github.com/apache/drill/pull/885;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2017-07-25 12:28:54;2017-08-08 00:32:08
https://github.com/apache/drill/pull/884;sohami;<User (sohami)>;merged;2017-07-25 02:09:28;2017-08-08 00:32:08
https://github.com/apache/drill/pull/883;sohami;<User (sohami)>;merged;2017-07-24 20:41:31;2017-08-15 13:44:43
https://github.com/apache/drill/pull/882;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2017-07-21 14:56:29;2017-08-09 14:30:10
https://github.com/apache/drill/pull/881;KulykRoman;<User (KulykRoman)>;merged;2017-07-20 15:33:25;2017-07-21 17:23:59
https://github.com/apache/drill/pull/880;superbstreak;<User (superbstreak)>;merged;2017-07-19 05:56:28;2017-07-21 13:31:17
https://github.com/apache/drill/pull/879;Ben-Zvi;<User (Ben-Zvi)>;merged;2017-07-18 20:03:23;2017-07-21 17:23:59
https://github.com/apache/drill/pull/878;superbstreak;<User (superbstreak)>;merged;2017-07-18 00:13:12;2017-08-08 00:32:07
https://github.com/apache/drill/pull/877;vdiravka;<User (vdiravka)>;merged;2017-07-13 18:56:03;2017-08-15 17:25:32
https://github.com/apache/drill/pull/876;parthchandra;<User (parthchandra)>;merged;2017-07-13 15:04:37;2017-07-17 20:24:23
https://github.com/apache/drill/pull/874;sindhurirayavaram;<User (sindhurirayavaram)>;merged;2017-07-12 23:48:18;2017-08-15 13:44:43
https://github.com/apache/drill/pull/873;laurentgo;<User (laurentgo)>;merged;2017-07-12 05:33:20;2017-07-12 17:58:47
https://github.com/apache/drill/pull/872;Ben-Zvi;<User (Ben-Zvi)>;merged;2017-07-11 02:55:53;2017-07-21 17:23:59
https://github.com/apache/drill/pull/871;Ben-Zvi;<User (Ben-Zvi)>;merged;2017-07-11 02:43:10;2017-07-21 17:23:59
https://github.com/apache/drill/pull/869;KulykRoman;<User (KulykRoman)>;merged;2017-07-06 16:46:58;2017-07-21 13:31:17
https://github.com/apache/drill/pull/868;dvjyothsna;<User (dvjyothsna)>;merged;2017-07-05 20:26:24;2017-08-26 03:52:37
https://github.com/apache/drill/pull/867;vvysotskyi;<User (vvysotskyi)>;merged;2017-07-04 17:21:43;2017-07-21 13:31:17
https://github.com/apache/drill/pull/866;paul-rogers;<User (paul-rogers)>;merged;2017-07-04 05:51:41;2017-08-18 05:54:56
https://github.com/apache/drill/pull/865;cgivre;<User (cgivre)>;merged;2017-07-03 03:19:40;2017-07-21 13:31:17
https://github.com/apache/drill/pull/864;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2017-06-30 11:44:36;2017-07-21 17:23:59
https://github.com/apache/drill/pull/863;vvysotskyi;<User (vvysotskyi)>;merged;2017-06-29 15:25:57;2017-07-04 03:00:32
https://github.com/apache/drill/pull/862;kkhatua;<User (kkhatua)>;merged;2017-06-28 17:49:20;2017-07-04 03:00:32
https://github.com/apache/drill/pull/861;vvysotskyi;<User (vvysotskyi)>;merged;2017-06-27 09:31:27;2017-07-04 03:00:32
https://github.com/apache/drill/pull/860;paul-rogers;<User (paul-rogers)>;merged;2017-06-23 03:58:10;2017-08-15 13:44:43
https://github.com/apache/drill/pull/859;ppadma;<User (ppadma)>;merged;2017-06-21 23:55:23;2017-07-12 03:40:45
https://github.com/apache/drill/pull/857;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2017-06-20 11:42:54;2017-06-25 01:32:50
