url;owner;commenter;decision;submission date;last comment
https://github.com/apache/drill/pull/928;paul-rogers;paul-rogers;open;2017-08-30 22:26:35;
https://github.com/apache/drill/pull/927;arina-ielchiieva;arina-ielchiieva;open;2017-08-30 12:54:50;
https://github.com/apache/drill/pull/926;vrozov;vrozov;open;2017-08-30 00:09:29;
https://github.com/apache/drill/pull/925;weijietong;weijietong;open;2017-08-29 16:50:25;
https://github.com/apache/drill/pull/923;ilooner;ilooner;open;2017-08-26 00:51:54;
https://github.com/apache/drill/pull/922;kkhatua;kkhatua;open;2017-08-25 23:41:18;
https://github.com/apache/drill/pull/921;dvjyothsna;dvjyothsna;open;2017-08-25 16:39:40;
https://github.com/apache/drill/pull/920;sohami;sohami;open;2017-08-23 18:42:39;
https://github.com/apache/drill/pull/919;sohami;parthchandra;open;2017-08-22 18:18:51;
https://github.com/apache/drill/pull/916;vdiravka;vdiravka;open;2017-08-18 15:11:06;
https://github.com/apache/drill/pull/915;vdiravka;vdiravka;open;2017-08-18 14:42:43;
https://github.com/apache/drill/pull/914;paul-rogers;paul-rogers;open;2017-08-18 05:53:19;
https://github.com/apache/drill/pull/913;ilooner-mapr;vrozov;open;2017-08-17 23:39:04;
https://github.com/apache/drill/pull/910;arina-ielchiieva;sohami;open;2017-08-17 16:48:08;
https://github.com/apache/drill/pull/909;vvysotskyi;paul-rogers;open;2017-08-17 15:19:05;
https://github.com/apache/drill/pull/907;ppadma;paul-rogers;open;2017-08-16 17:05:11;
https://github.com/apache/drill/pull/906;jinfengni;paul-rogers;open;2017-08-11 21:23:00;
https://github.com/apache/drill/pull/905;vvysotskyi;vvysotskyi;open;2017-08-11 12:56:49;
https://github.com/apache/drill/pull/904;weijietong;vvysotskyi;open;2017-08-11 08:20:54;
https://github.com/apache/drill/pull/903;sindhurirayavaram;sindhurirayavaram;open;2017-08-10 19:53:31;
https://github.com/apache/drill/pull/901;paul-rogers;paul-rogers;open;2017-08-09 22:48:21;
https://github.com/apache/drill/pull/897;cgivre;cgivre;open;2017-08-07 04:06:00;
https://github.com/apache/drill/pull/896;joerg84;joerg84;open;2017-08-07 01:25:21;
https://github.com/apache/drill/pull/895;sohami;sohami;open;2017-08-04 01:25:13;
https://github.com/apache/drill/pull/892;josiahyan;josiahyan;open;2017-08-02 16:44:43;
https://github.com/apache/drill/pull/889;weijietong;arina-ielchiieva;open;2017-07-27 12:43:58;
