PRid;Successful;PropensityToTrust
54;FALSE;LOW
54;FALSE;LOW
256;FALSE;HIGH
267;FALSE;HIGH
267;FALSE;LOW
287;FALSE;LOW
296;FALSE;LOW
296;FALSE;HIGH
311;FALSE;LOW
312;FALSE;LOW
325;FALSE;HIGH
325;FALSE;LOW
374;FALSE;LOW
409;FALSE;LOW
432;FALSE;HIGH
443;FALSE;LOW
443;FALSE;LOW
453;FALSE;LOW
455;FALSE;LOW
460;FALSE;LOW
465;FALSE;LOW
472;FALSE;LOW
475;FALSE;LOW
476;FALSE;LOW
1;TRUE;HIGH
2;TRUE;HIGH
3;TRUE;HIGH
4;FALSE;HIGH
4;FALSE;LOW
5;TRUE;HIGH
6;TRUE;HIGH
7;TRUE;HIGH
8;TRUE;HIGH
9;TRUE;HIGH
10;TRUE;HIGH
10;TRUE;HIGH
11;TRUE;HIGH
12;TRUE;HIGH
13;FALSE;LOW
14;TRUE;HIGH
15;FALSE;HIGH
16;TRUE;HIGH
17;TRUE;LOW
18;FALSE;HIGH
19;TRUE;LOW
19;TRUE;LOW
20;TRUE;HIGH
21;TRUE;HIGH
22;TRUE;HIGH
23;TRUE;HIGH
23;TRUE;LOW
24;TRUE;HIGH
25;TRUE;HIGH
26;TRUE;HIGH
27;TRUE;HIGH
28;TRUE;HIGH
29;TRUE;HIGH
30;TRUE;LOW
31;TRUE;HIGH
32;TRUE;HIGH
33;TRUE;HIGH
34;TRUE;LOW
35;TRUE;LOW
36;TRUE;HIGH
37;TRUE;HIGH
38;TRUE;LOW
39;TRUE;HIGH
40;TRUE;LOW
41;TRUE;LOW
42;FALSE;LOW
43;TRUE;HIGH
43;TRUE;LOW
44;TRUE;HIGH
45;TRUE;HIGH
46;TRUE;HIGH
47;FALSE;LOW
48;TRUE;LOW
49;FALSE;HIGH
50;TRUE;LOW
51;TRUE;LOW
52;TRUE;LOW
53;TRUE;LOW
55;TRUE;LOW
56;TRUE;LOW
57;TRUE;LOW
58;FALSE;LOW
59;TRUE;LOW
59;TRUE;HIGH
60;TRUE;HIGH
61;TRUE;HIGH
62;TRUE;HIGH
63;TRUE;HIGH
64;TRUE;HIGH
65;TRUE;HIGH
66;TRUE;HIGH
66;TRUE;HIGH
67;TRUE;HIGH
68;TRUE;HIGH
69;TRUE;HIGH
69;TRUE;HIGH
70;TRUE;HIGH
71;TRUE;HIGH
72;TRUE;HIGH
73;TRUE;HIGH
74;TRUE;HIGH
74;TRUE;HIGH
75;TRUE;HIGH
76;TRUE;HIGH
76;TRUE;HIGH
77;TRUE;HIGH
78;TRUE;HIGH
79;TRUE;HIGH
80;TRUE;HIGH
81;TRUE;HIGH
82;TRUE;HIGH
83;TRUE;HIGH
84;TRUE;HIGH
85;TRUE;HIGH
85;TRUE;HIGH
85;TRUE;HIGH
85;TRUE;HIGH
86;TRUE;HIGH
87;TRUE;HIGH
88;TRUE;HIGH
89;TRUE;HIGH
90;TRUE;HIGH
91;TRUE;HIGH
92;TRUE;HIGH
93;TRUE;HIGH
93;TRUE;HIGH
94;TRUE;HIGH
95;TRUE;HIGH
96;TRUE;HIGH
96;TRUE;HIGH
96;TRUE;HIGH
97;TRUE;HIGH
98;FALSE;LOW
99;FALSE;LOW
100;TRUE;LOW
101;TRUE;LOW
