url;owner;commenter;decision;submission date;last comment
https://github.com/apache/groovy/pull/54;paulk-asert;paulk-asert;open;5 Jul 2015;5 Jul 2015
https://github.com/apache/groovy/pull/54;paulk-asert;PascalSchumacher;open;5 Jul 2015;15 Jan 2016
https://github.com/apache/groovy/pull/256;yaccz;PascalSchumacher;open;09 feb 2016;14 feb 2016
https://github.com/apache/groovy/pull/267;paplorinc;PascalSchumacher;open;21 feb 2016;21 feb 2016
https://github.com/apache/groovy/pull/267;paplorinc;jwaGenleitner;open;21 feb 2016;21 feb 2016
https://github.com/apache/groovy/pull/287;uehaj;blackdrag;open;08 mar 2016;08 mar 2016
https://github.com/apache/groovy/pull/296;oreissig;blackdrag;open;20 mar 2016;21 mar 2016
https://github.com/apache/groovy/pull/296;oreissig;paulk-asert;open;20 mar 2016;22 mar 2016
https://github.com/apache/groovy/pull/311;alien11689;paulk-asert;open;10 apr 2016;13 apr 2016
https://github.com/apache/groovy/pull/312;paulk-asert;paulk-asert;open;13 apr 2016;13 apr 2016
https://github.com/apache/groovy/pull/325;jwaGenleitner;blackdrag;open;1 May 2016;5 Oct 2016
https://github.com/apache/groovy/pull/325;jwaGenleitner;jochenberger;open;1 May 2016;11 Oct 2016
https://github.com/apache/groovy/pull/374;tkruse;tkruse;open;29 Jul 2016;29 Jul 2016
https://github.com/apache/groovy/pull/409;jwaGenleitner;paulk-asert;open;2 Sep 2016;13 Sep 2016
https://github.com/apache/groovy/pull/432;blindpirate;jwaGenleitner;open;26 Sep 2016;16 Oct 2016
https://github.com/apache/groovy/pull/443;bsideup;paulk-asert;open;8 Oct 2016;26 Oct 2016
https://github.com/apache/groovy/pull/443;bsideup;danielsun1106;open;8 Oct 2016;14 nov 2016
https://github.com/apache/groovy/pull/453;alien11689;alien11689;open;29 Oct 2016;29 Oct 2016
https://github.com/apache/groovy/pull/455;blindpirate;blindpirate;open;02 nov 2016;02 nov 2016
https://github.com/apache/groovy/pull/460;blindpirate;jwaGenleitner;open;10 nov 2016;10 nov 2016
https://github.com/apache/groovy/pull/465;mortensoby;mortensoby;open;25 nov 2016;25 nov 2016
https://github.com/apache/groovy/pull/472;bsideup;bsideup;open;29 Dec 2015;29 Dec 2015
