PRid;Successful;PropensityToTrust
1;FALSE;LOW
2;FALSE;LOW
3;FALSE;HIGH
4;FALSE;HIGH
5;FALSE;LOW
6;FALSE;LOW
7;TRUE;LOW
8;FALSE;LOW
9;TRUE;LOW
10;FALSE;LOW
11;TRUE;HIGH
12;FALSE;HIGH
13;TRUE;HIGH
14;FALSE;HIGH
15;TRUE;LOW
16;TRUE;LOW
17;TRUE;HIGH
18;TRUE;HIGH
19;TRUE;HIGH
20;TRUE;LOW
21;FALSE;LOW
22;FALSE;LOW
23;FALSE;HIGH
24;FALSE;HIGH
25;FALSE;LOW
26;FALSE;LOW
27;TRUE;LOW
28;FALSE;LOW
29;TRUE;LOW
30;FALSE;LOW
31;TRUE;HIGH
32;FALSE;HIGH
33;TRUE;HIGH
34;FALSE;HIGH
35;TRUE;LOW
36;TRUE;LOW
37;TRUE;HIGH
38;TRUE;HIGH
39;TRUE;HIGH
40;TRUE;LOW
41;FALSE;LOW
42;FALSE;LOW
43;FALSE;HIGH
44;FALSE;HIGH
45;FALSE;LOW
46;FALSE;LOW
47;TRUE;LOW
48;FALSE;LOW
49;TRUE;LOW
50;FALSE;LOW
51;TRUE;HIGH
52;FALSE;HIGH
53;TRUE;HIGH
54;FALSE;HIGH
55;TRUE;LOW
56;TRUE;LOW
57;TRUE;HIGH
58;TRUE;HIGH
59;TRUE;HIGH
60;TRUE;LOW
61;FALSE;LOW
62;FALSE;LOW
63;FALSE;HIGH
64;FALSE;HIGH
65;FALSE;LOW
66;FALSE;LOW
67;TRUE;LOW
68;FALSE;LOW
69;TRUE;LOW
70;FALSE;LOW
71;TRUE;HIGH
72;FALSE;HIGH
73;TRUE;HIGH
74;FALSE;HIGH
75;TRUE;LOW
76;TRUE;LOW
77;TRUE;HIGH
78;TRUE;HIGH
79;TRUE;HIGH
80;TRUE;LOW
81;FALSE;LOW
82;FALSE;LOW
83;FALSE;HIGH
84;FALSE;HIGH
85;FALSE;LOW
86;FALSE;LOW
87;TRUE;LOW
88;FALSE;LOW
89;TRUE;LOW
90;FALSE;LOW
91;TRUE;HIGH
92;FALSE;HIGH
93;TRUE;HIGH
94;FALSE;HIGH
95;TRUE;LOW
96;TRUE;LOW
97;TRUE;HIGH
98;TRUE;HIGH
99;TRUE;HIGH
100;TRUE;LOW
101;FALSE;LOW
102;FALSE;LOW
103;FALSE;HIGH
104;FALSE;HIGH
105;FALSE;LOW
106;FALSE;LOW
107;TRUE;LOW
108;FALSE;LOW
109;TRUE;LOW
110;FALSE;LOW
111;TRUE;HIGH
112;FALSE;HIGH
113;TRUE;HIGH
114;FALSE;HIGH
115;TRUE;LOW
116;TRUE;LOW
117;TRUE;HIGH
118;TRUE;HIGH
119;TRUE;HIGH
120;TRUE;LOW
121;FALSE;LOW
122;FALSE;LOW
123;FALSE;HIGH
124;FALSE;HIGH
125;FALSE;LOW
126;FALSE;LOW
127;TRUE;LOW
128;FALSE;LOW
129;TRUE;LOW
130;FALSE;LOW
131;TRUE;HIGH
132;FALSE;HIGH
133;TRUE;HIGH
134;FALSE;HIGH
135;TRUE;LOW
136;TRUE;LOW
137;TRUE;HIGH
138;TRUE;HIGH
139;TRUE;HIGH
140;TRUE;LOW
